what	why	evidence	result
frontmatter renderer emits block lists only	fixtures carry two list styles so byte-exact round-trip of both with one renderer is impossible	tests/fixtures/recipe/.kb/wiki/omelette-story.md, tests/fixtures/security/.kb/wiki/incident-story.md	literal round-trip tested on block fixture, semantic on inline
sources stores bytes before the sidecar, AND lint counts only byte files	the phase-4 open question offered ordering OR a .toml exclusion; a runtime check proved ordering alone is not enough, because the check globs sources/* by stem and a sidecar-only orphan still passed, so both are needed: ordering so store can never create that state, the exclusion so the check means what it says	runtime: lint_pages returned [] for a page citing a digest with only its .toml on disk; llmwiki/lint.py source_hashes	ordering kept in store; lint source_hashes gained a p.suffix != '.toml' predicate with a regression test
the sidecar, not the byte file, is the exclusive claim that decides new vs exists	the byte path is keyed on digest AND extension, so the same bytes arriving under a second content type missed the exclusive create entirely, wrote a duplicate, and overwrote the first provenance record; <digest>.toml is the one path independent of content type, so claiming it by link is what makes store idempotent on content alone	runtime: two stores of identical bytes as text/markdown then application/pdf both returned new, leaving .md and .pdf and a sidecar naming only the second job	bytes still linked first, then the sidecar; losing the sidecar link returns exists and unlinks the duplicate byte file only when a different extension for the digest is also present
provenance TOML values escaped with json.dumps(ensure_ascii=False)	JSON string escapes are a subset of TOML basic-string escapes, so the standard library is a correct writer for four scalar lines; a hand-rolled escape table or a TOML writer dependency both cost more	docs/plans/01-llm-wiki-poc/phase-04-sources.md (four key = "value" lines, no writer dep)	round-trip tested through tomllib for a url with a quote, a backslash, and non-ASCII
the sidecar loser unlinks its byte file only when another extension for the digest exists	the two links are independent races, so the caller that wins the byte link can lose the sidecar link; unlinking unconditionally would then delete the only byte file on disk and leave a sidecar with no bytes, which is the exact state the ordering invariant exists to prevent	runtime: with the sidecar present and the byte file removed, store returned exists and kept the .md it had just linked	the delegate caught this in the pinned pseudocode and was right; a byte file linked under the same extension is permanent whichever caller's sidecar wins
the model client builds one opener with ProxyHandler({}) and a redirect handler that refuses, instead of calling urllib.request.urlopen	the default opener reads http_proxy from the environment and follows 3xx, and both resend the Authorization header to a host config.toml never named; the phase rule is that the key reaches nothing but the configured endpoint	runtime: with http_proxy set, chat() against the non-resolving host http://api.example.invalid returned a normal answer and the proxy logged Bearer SECRET-KEY-DO-NOT-LEAK; separately a 302 delivered the same header to a server on an unrelated port. after the fix both raise ModelError and neither listener saw an Authorization header	a redirecting or proxied endpoint now fails loudly as HTTP 302 or a DNS error; it also makes the suite hermetic, which failed with 8 errors under http_proxy before
embed refuses a response whose data indices are not exactly range(len(texts)), rather than repairing it	sorted() on index silently tolerates a short response and a duplicate index, so a downstream zip(texts, vectors) pairs the wrong text with the wrong vector; nothing fails until search returns nonsense in phase 13	runtime: 3 texts with 2 items returned [[0.0],[2.0]] and a duplicated index 0 put the wrong vector at position 0, both without error	a malformed embedding response is a ModelError at the call site instead of corrupt vectors in the store
the no-leak test asserts over traceback.format_exception and a handler installed on the root logger, not over redirect_stdout and redirect_stderr alone	redirect_stdout rebinds sys.stdout, so any writer holding a reference captured earlier, a logging.StreamHandler being the ordinary case, writes straight past the assertion	mutation: injecting the key into the ModelError message failed the old test, but logging the key through a StreamHandler built at import time left it green while the key printed to the terminal	the test that guards the phase's headline rule now has teeth against the realistic leak, not only the obvious one
the config.toml that init writes carries only the live summarize model, not commented example ids for embed and dedup	user ruling 2026-08-29: remove the id and the comment, values should be pulled from the toml file. a commented catalog of model ids also put vendor names in a CLI module, which the standing convention bans	init into a scratch kb still parses: tomllib.load gives {'summarize': 'deepseek/deepseek-v3.2'}, and no test asserted on the removed lines	decision .21's embed default openai/text-embedding-3-small is no longer discoverable from a fresh config; phase 13 must take it from the design doc or the .21 comment when it wires embed
prompt_fingerprint hashes the prompt prefix alone, excluding the source text and the model name	the fingerprint exists to answer one question, is this page still the product of the current instructions; the source text is per page so including it would make every fingerprint unique and the skip check useless, and the model name is already recorded as its own frontmatter field, so folding it in would silently invalidate every page in the wiki on a model swap	llmwiki/summarize.py prompt_fingerprint; tests assert stability across two runs and a change when SUMMARIZE.md or the declared identifiers change	a SUMMARIZE.md edit or an identifier vocabulary edit re-runs the whole wiki, a model swap does not
the built-in summarizing rules live in summarize.py, not in the SUMMARIZE.md that init writes	decision 0zf.4 measured that the identifier discipline rules, exact strings copied from the source, no URLs, no blank items, omit an absent key, were the difference between round 1 failing and nine of nine models scoring 5/5; a user editing or deleting SUMMARIZE.md must not be able to remove them	bd comments agent-kb-0zf.4 prompt findings paragraph; llmwiki/summarize.py BUILT_IN_PROMPT	prompt = BUILT_IN_PROMPT + SUMMARIZE.md if present + lint.prompt_block(config) + source text
a re-run writes back to the existing page's path, and a fresh page whose slug is already taken gets a -<digest[:12]> suffix	a runtime probe with two sources whose titles slugify the same left one page on disk and exit code 0, destroying the first summary and then ping-ponging between the two digests on every later run while always reporting success; the suffix also stops the CLI overwriting a page of a kind it does not own	/tmp/probe6.py probe B before the fix: two digests, pages on disk ['same-title.md']	both summaries survive, and a page the agent owns at the same slug is never touched
summarize reads the source bytes and the provenance sidecar before it calls the model, under one guard	both reads raised FileNotFoundError uncaught, a mistyped hash as a traceback and a missing sidecar as a traceback charged after the chat call had already been billed; hoisting them makes an unusable source cost nothing and turns both into a logged drop	/tmp/probe6.py probes A and D before the fix, both UNCAUGHT EXCEPTION out of cli.main	an unknown hash or a missing sidecar logs a drop and returns 1, with no model call
model._model_name became public model_name	summarize records the resolved model in frontmatter, and chat returns only the reply content; the alternative was re-reading config['models'] in summarize, duplicating both the CLI override rule and the ModelError that names the missing key	llmwiki/model.py model_name, called by chat, embed, and summarize._build_fields	one resolution path for a model name across the whole CLI
BUILT_IN_PROMPT carries a literal example of the frontmatter shape, not prose describing it	a real call to deepseek/deepseek-v3.2 with the prose-only prompt returned a block with no closing ---, list items at column 0, and key: value with a space; the page dropped as unparseable, and had it parsed, identifiers would have been the empty string with each item becoming its own bogus frontmatter key that lint cannot see, because lint._as_list('') is []	the raw reply captured from the live endpoint 2026-08-30; the same source after the fix parses, lints clean, and yields all seven identifiers	the parser stays as it is and the prompt shows the exact shape, per decision 0zf.4 that this failure class is the prompt and not the model
summarize drops a reply whose identifiers field is absent, is not a list, or holds a blank item	decision 0zf.4 says the CLI validates its own keys and that identifiers is a list of non-blank strings, and nothing enforced it; a scalar identifiers field passes every lint check silently, so the garbage reached disk looking valid	llmwiki/summarize.py _drop_reason; tests cover a bare string, a blank item, and an empty list which is kept	an empty list stays valid, a source with no identifiers is normal
render_frontmatter emits an empty list as inline 'key: []' and core.as_list reads legacy bare 'key:' lines	a bare 'key:' line parsed back as the empty STRING, not a list, so an empty identifiers field did not survive a round trip; phase 6 logged this asymmetry as an open question and phase 7 rewrites pages constantly, so the defect was about to have its second victim rather than its first	probe A on a summary with 'identifiers: []': the singleton story and the summary both round-trip and lint clean; lint._as_list moved to core.as_list, both consumers import it; the checked-in dangling-summary.md fixture already spelled it 'identifiers: []', so the fixture agreed with the target shape	parse_frontmatter was NOT touched; the write side changed and the read side stays tolerant of pages written before the fix
the dedup judge prompt states that a story covers ONE real-world occurrence and defaults to NONE	the first wording only asked whether the summary 'belongs to' a candidate story, which let a shared identifier alone justify a match	12 live calls to deepseek/deepseek-v3.2: the original prompt joined a bakery reopening to the story about the fire at that bakery on 2 of 2 runs, purely on place:riverside-bakery; the shipped wording gives the reopening its own story and still joins a same-day update on the same fire, 3 of 3 trials, then 2 of 2 on the final unpatched module	same failure class as phase 6 and the same conclusion: the prompt, not the model; a fake endpoint could not have found it
a summary that already carries a non-empty story: field is never a dedup target, even when its digest is named explicitly	_target_digests only filtered already-placed summaries when digests was None, so 'dedup <hash>' re-placed a summary into a second story and left it in the first story's members, breaking the one-story invariant silently at exit 0	probe D reproduced the hash appearing in two stories' members; after the fix the same probe reports each hash in exactly one story and the explicit re-place is a no-op at 'dedup: 0 planned'	moving a summary between stories is dedup --rebuild's job in phase 8 per decision 0zf.5; member removal was deliberately NOT implemented here
